Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover - USD,Flow
16-Jun-2022,,,,,,,,,
15-Jun-2022,135.43,+2.67,+2.01%,134.29,132.16,137.34,"91,532,972","12,322,624,328.00","269,854,006,980.17"
14-Jun-2022,132.76,+0.88,+0.67%,133.13,131.48,133.89,"84,784,326","11,240,182,447.00","257,531,382,652.17"
13-Jun-2022,131.88,-5.25,-3.83%,132.87,131.44,135.20,"122,207,099","16,269,088,361.00","246,291,200,205.17"
10-Jun-2022,137.13,-5.51,-3.86%,140.28,137.06,140.76,"91,566,637","12,652,542,418.00","262,560,288,566.17"
09-Jun-2022,142.64,-5.32,-3.60%,147.08,142.53,147.95,"69,472,976","10,096,270,215.00","275,212,830,984.17"
08-Jun-2022,147.96,-0.75,-0.50%,148.58,147.46,149.87,"53,950,201","8,017,637,218.00","285,309,101,199.17"
07-Jun-2022,148.71,+2.57,+1.76%,144.35,144.10,149.00,"67,808,150","10,005,287,045.00","293,326,738,417.17"
06-Jun-2022,146.14,+0.76,+0.52%,147.03,144.90,148.57,"71,598,380","10,497,521,200.00","283,321,451,372.17"
03-Jun-2022,145.38,-5.83,-3.86%,146.90,144.46,147.97,"88,570,289","12,914,674,233.00","272,823,930,172.17"
02-Jun-2022,151.21,+2.50,+1.68%,147.83,146.86,151.27,"72,348,055","10,817,590,528.00","285,738,604,405.17"
01-Jun-2022,148.71,-0.13,-0.09%,149.90,147.68,151.74,"74,286,635","11,096,543,561.00","274,921,013,877.17"
31-May-2022,148.84,-0.80,-0.53%,149.07,146.84,150.66,"103,718,416","15,464,399,640.00","286,017,557,438.17"
27-May-2022,149.64,+5.86,+4.08%,145.39,145.26,149.68,"90,978,503","13,482,981,172.00","301,481,957,078.17"
26-May-2022,143.78,+3.26,+2.32%,137.39,137.14,144.34,"90,601,548","12,900,775,797.00","287,998,975,906.17"
25-May-2022,140.52,+0.16,+0.11%,138.43,138.34,141.79,"92,482,696","12,954,685,553.00","275,098,200,109.17"
24-May-2022,140.36,-2.75,-1.92%,140.81,137.33,141.97,"104,132,746","14,517,526,105.00","262,143,514,556.17"
23-May-2022,143.11,+5.52,+4.01%,137.79,137.65,143.26,"117,726,265","16,650,548,031.00","276,661,040,661.17"
20-May-2022,137.59,+0.24,+0.17%,139.09,132.61,140.70,"137,426,125","18,744,475,163.00","260,010,492,630.17"
19-May-2022,137.35,-3.47,-2.46%,139.88,136.60,141.66,"136,095,640","18,871,330,807.00","241,266,017,467.17"
18-May-2022,140.82,-8.42,-5.64%,146.85,139.90,147.36,"109,742,890","15,659,228,024.00","260,137,348,274.17"
