date,open,high,low,close,preclose,volume,amount,turn,pctChg
2018-02-12,15.7500,15.7900,15.4600,15.6000,15.9700,29842926,466138575.0000,0.259370,-2.316843
2018-02-13,15.6500,15.9700,15.6400,15.7600,15.6000,15445574,244367304.0000,0.134240,1.025640
2018-02-14,15.8200,16.0800,15.8200,15.9900,15.7600,13113957,209539442.0000,0.113976,1.459388
2018-02-22,16.0800,16.1500,15.9900,16.1100,15.9900,12485863,200799734.0000,0.108517,0.750474
2018-02-23,16.1000,16.3500,16.0700,16.2500,16.1100,17783676,288847732.0000,0.154561,0.869022
2018-02-26,16.3300,16.4300,16.2500,16.4100,16.2500,18906223,309268251.0000,0.164317,0.984614
2018-02-27,16.4500,16.6000,16.4200,16.5400,16.4100,21009788,347503439.0000,0.182599,0.792206
2018-02-28,16.4800,16.6300,16.3800,16.4700,16.5400,14353057,236746342.0000,0.124745,-0.423226
2018-03-01,16.3900,16.5900,16.3900,16.4900,16.4700,13479481,222388513.0000,0.117152,0.121436
2018-03-02,16.4400,16.7700,16.4100,16.7500,16.4900,20526643,341559915.0000,0.178400,1.576715
2018-03-05,16.7000,16.8500,16.6300,16.8400,16.7500,16191604,271360076.0000,0.140724,0.537314
2018-03-06,16.8800,16.9300,16.6000,16.6600,16.8400,12535377,209627460.0000,0.108947,-1.068885
2018-03-07,16.6300,16.8400,16.6100,16.6700,16.6600,15277697,255372493.0000,0.132781,0.060025
2018-03-08,16.7800,17.0800,16.7600,16.9500,16.6700,20296251,344855347.0000,0.176398,1.679668
2018-03-09,17.0800,17.0900,16.8400,16.9600,16.9500,10022367,169712082.0000,0.087106,0.058987
2018-03-12,17.0200,17.0300,16.5900,16.7000,16.9600,23945862,401500220.0000,0.208117,-1.533009
2018-03-13,16.7100,16.7900,16.6000,16.7000,16.7000,10944917,182885766.0000,0.095124,0.000000
2018-03-14,16.6800,16.7600,16.6100,16.7000,16.7000,10672401,178216760.0000,0.092756,0.000000
2018-03-15,16.6400,16.7300,16.6200,16.6500,16.7000,10741722,179160334.0000,0.093358,-0.299408
2018-03-16,16.6100,16.7800,16.5900,16.6500,16.6500,11089664,184915571.0000,0.096382,0.000000
2018-03-19,16.6300,16.6700,16.4000,16.6500,16.6500,13566937,224407975.0000,0.117912,0.000000
2018-03-20,16.5600,16.7200,16.5400,16.6800,16.6500,9706050,161463245.0000,0.084357,0.180184
2018-03-21,16.7200,16.7300,16.5000,16.6300,16.6800,11080004,184072194.0000,0.096298,-0.299767
2018-03-22,16.5900,16.6100,16.3900,16.5100,16.6300,15075351,248225505.0000,0.131022,-0.721581
2018-03-23,16.3000,16.5200,16.1400,16.4900,16.5100,33462972,546436895.0000,0.290832,-0.121141
2018-03-26,16.3600,16.5300,16.3100,16.3700,16.4900,21246110,348441395.0000,0.184653,-0.727707
2018-03-27,16.4300,16.5700,16.4100,16.4900,16.3700,10206075,168246144.0000,0.088703,0.733042
2018-03-28,16.4000,16.5300,16.1200,16.1900,16.4900,19465503,317156215.0000,0.169178,-1.819280
2018-03-29,16.2800,16.3500,15.9800,16.1000,16.1900,18864210,303942064.0000,0.163952,-0.555900
2018-03-30,16.1000,16.2600,15.9400,16.0200,16.1000,21465187,344588381.0000,0.186557,-0.496894
2018-04-02,16.0000,16.0800,15.9100,15.9700,16.0200,14314749,229049562.0000,0.124412,-0.312111
2018-04-03,15.9200,15.9600,15.8200,15.8700,15.9700,13661400,216930183.0000,0.118733,-0.626177
2018-04-04,15.8700,16.0000,15.8400,15.8600,15.8700,10198965,162194555.0000,0.088641,-0.063013
